Id,tipo,bairro,tipo_vendedor,quartos,suites,vagas,area_util,area_extra,diferenciais,churrasqueira,estacionamento,piscina,playground,quadra,s_festas,s_jogos,s_ginastica,sauna,vista_mar,preco
2000,Casa,Imbiribeira,Imobiliaria,3,3,5,223,167,piscina e copa,0,0,1,0,0,0,0,0,0,0,1000000
2001,Apartamento,Casa Amarela,Imobiliaria,4,4,2,157,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,680000
2002,Apartamento,Encruzilhada,Imobiliaria,3,1,0,53,0,nenhum,0,0,0,0,0,0,0,0,0,0,450000
2003,Apartamento,Boa Viagem,Imobiliaria,4,3,2,149,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1080000
2004,Apartamento,Rosarinho,Imobiliaria,2,1,1,54,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,350000
2005,Apartamento,Boa Vista,Imobiliaria,3,0,1,130,0,playground,0,0,0,1,0,0,0,0,0,0,490000
2006,Apartamento,Rosarinho,Imobiliaria,4,2,0,105,0,piscina e playground,0,0,1,1,0,0,0,0,0,0,680000
2007,Apartamento,Espinheiro,Imobiliaria,3,1,1,124,0,nenhum,0,0,0,0,0,0,0,0,0,0,390000
2008,Apartamento,Boa Viagem,Imobiliaria,4,4,3,170,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1350000
2009,Apartamento,Boa Viagem,Imobiliaria,3,1,1,72,0,nenhum,0,0,0,0,0,0,0,0,0,0,400000
2010,Apartamento,Boa Viagem,Imobiliaria,4,3,2,125,0,piscina e copa,0,0,1,0,0,0,0,0,0,0,980000
2011,Apartamento,Boa Viagem,Imobiliaria,4,4,3,150,0,piscina e playground,0,0,1,1,0,0,0,0,0,0,1200000
2012,Apartamento,Boa Viagem,Imobiliaria,2,0,1,72,0,nenhum,0,0,0,0,0,0,0,0,0,0,215000
2013,Apartamento,Boa Viagem,Imobiliaria,1,1,2,92,22,sauna e playground,0,0,0,1,0,0,0,0,1,0,750000
2014,Apartamento,Boa Viagem,Imobiliaria,3,1,2,120,0,nenhum,0,0,0,0,0,0,0,0,0,0,580000
2015,Apartamento,Boa Vista,Imobiliaria,4,3,4,500,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1500000
2016,Apartamento,Tamarineira,Imobiliaria,3,1,1,75,0,nenhum,0,0,0,0,0,0,0,0,0,0,300000
2017,Apartamento,Gracas,Imobiliaria,3,1,1,104,0,nenhum,0,0,0,0,0,0,0,0,0,0,420000
2018,Apartamento,Madalena,Imobiliaria,3,1,1,135,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,560000
2019,Apartamento,Boa Viagem,Imobiliaria,3,1,2,82,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,489000
2020,Apartamento,Parnamirim,Imobiliaria,3,3,3,198,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,1300000
2021,Apartamento,Madalena,Imobiliaria,3,1,1,67,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,380000
2022,Apartamento,Boa Viagem,Imobiliaria,4,2,2,145,0,piscina e quadra poliesportiva,0,0,1,0,1,0,0,0,0,0,690000
2023,Apartamento,Boa Viagem,Imobiliaria,3,2,2,163,110,salao de festas,0,0,0,0,0,1,0,0,0,0,700000
2024,Apartamento,Boa Viagem,Imobiliaria,3,1,0,100,20,nenhum,0,0,0,0,0,0,0,0,0,0,400000
2025,Apartamento,Gracas,Imobiliaria,4,1,2,209,117,campo de futebol e playground,0,0,0,1,1,0,0,0,0,0,690000
2026,Apartamento,S Jose,Imobiliaria,4,4,3,247,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,2200000
2027,Apartamento,Boa Viagem,Imobiliaria,3,1,1,65,10,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,370000
2028,Apartamento,Boa Viagem,Imobiliaria,3,1,2,88,42,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,579000
2029,Apartamento,Setubal,Imobiliaria,2,0,1,50,0,piscina e estacionamento visitantes,0,1,1,0,0,0,0,0,0,0,265000
2030,Apartamento,Boa Viagem,Imobiliaria,3,0,0,109,0,nenhum,0,0,0,0,0,0,0,0,0,0,300000
2031,Apartamento,Boa Viagem,Imobiliaria,4,1,2,80,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,470000
2032,Apartamento,Boa Viagem,Imobiliaria,4,1,1,150,0,nenhum,0,0,0,0,0,0,0,0,0,0,900000
2033,Apartamento,Boa Viagem,Imobiliaria,3,1,2,97,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,814000
2034,Apartamento,Boa Viagem,Imobiliaria,2,1,1,57,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,298500
2035,Apartamento,Madalena,Imobiliaria,3,1,2,93,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,700000
2036,Apartamento,Espinheiro,Imobiliaria,4,4,3,310,130,copa e salao de festas,0,0,0,0,0,1,0,0,0,0,1100000
2037,Apartamento,Parnamirim,Imobiliaria,3,1,2,159,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,700000
2038,Apartamento,Madalena,Imobiliaria,3,1,2,96,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,635000
2039,Apartamento,Arruda,Imobiliaria,2,0,1,55,0,esquina e salao de festas,0,0,0,0,0,1,0,0,0,0,160000
2040,Apartamento,Boa Viagem,Imobiliaria,3,1,2,89,0,nenhum,0,0,0,0,0,0,0,0,0,0,480000
2041,Apartamento,Boa Viagem,Imobiliaria,2,0,1,60,0,nenhum,0,0,0,0,0,0,0,0,0,0,350000
2042,Apartamento,Pina,Imobiliaria,4,4,4,161,0,piscina e salao de festas,0,0,1,0,0,1,0,0,0,0,950000
2043,Apartamento,Casa Amarela,Imobiliaria,2,1,1,66,0,playground e sala de ginastica,0,0,0,1,0,0,0,1,0,0,440000
2044,Apartamento,Rosarinho,Imobiliaria,4,2,2,113,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,790000
2045,Apartamento,Beira Rio,Imobiliaria,4,2,2,133,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,860000
2046,Apartamento,Caxanga,Imobiliaria,3,1,1,64,0,piscina e playground,0,0,1,1,0,0,0,0,0,0,370000
2047,Apartamento,Casa Forte,Imobiliaria,3,1,1,72,0,piscina e playground,0,0,1,1,0,0,0,0,0,0,460000
2048,Apartamento,Prado,Imobiliaria,2,1,1,70,0,copa e playground,0,0,0,1,0,0,0,0,0,0,300000
2049,Apartamento,Imbiribeira,Imobiliaria,4,4,3,170,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1200000
2050,Apartamento,Iputinga,Imobiliaria,2,0,1,56,0,nenhum,0,0,0,0,0,0,0,0,0,0,169000
2051,Apartamento,Rosarinho,Imobiliaria,3,3,3,177,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1600000
2052,Apartamento,Espinheiro,Imobiliaria,3,1,1,67,0,estacionamento visitantes e playground,0,1,0,1,0,0,0,0,0,0,330000
2053,Apartamento,Boa Viagem,Imobiliaria,1,1,0,38,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,530000
2054,Apartamento,Madalena,Imobiliaria,4,4,3,204,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1200000
2055,Apartamento,Boa Viagem,Imobiliaria,3,1,1,96,34,salao de festas,0,0,0,0,0,1,0,0,0,0,450000
2056,Apartamento,Encruzilhada,Imobiliaria,3,1,2,70,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,435000
2057,Apartamento,Prado,Imobiliaria,2,1,1,65,0,playground e salao de festas,0,0,0,1,0,1,0,0,0,0,320000
2058,Apartamento,Gracas,Imobiliaria,3,1,1,110,0,nenhum,0,0,0,0,0,0,0,0,0,0,450000
2059,Apartamento,Boa Viagem,Imobiliaria,3,1,2,170,0,churrasqueira e playground,1,0,0,1,0,0,0,0,0,0,580000
2060,Apartamento,Casa Amarela,Imobiliaria,2,1,1,52,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,420000
2061,Apartamento,Casa Forte,Imobiliaria,4,4,3,237,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1750000
2062,Apartamento,Campo Grande,Imobiliaria,3,1,1,63,0,campo de futebol e playground,0,0,0,1,1,0,0,0,0,0,390000
2063,Apartamento,Encruzilhada,Imobiliaria,2,0,1,60,0,nenhum,0,0,0,0,0,0,0,0,0,0,220000
2064,Apartamento,Boa Viagem,Imobiliaria,4,4,2,137,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,900000
2065,Apartamento,Espinheiro,Imobiliaria,2,0,0,50,30,nenhum,0,0,0,0,0,0,0,0,0,0,200000
2066,Apartamento,Caxanga,Imobiliaria,2,1,1,54,36,piscina e salao de festas,0,0,1,0,0,1,0,0,0,0,314000
2067,Casa,Dois Irmaos,Imobiliaria,4,1,2,150,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,700000
2068,Apartamento,Boa Viagem,Imobiliaria,3,1,2,95,0,sauna e playground,0,0,0,1,0,0,0,0,1,0,607000
2069,Apartamento,Arruda,Imobiliaria,2,1,1,57,0,churrasqueira e copa,1,0,0,0,0,0,0,0,0,0,225000
2070,Apartamento,Boa Viagem,Imobiliaria,3,1,1,78,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,395000
2071,Apartamento,Boa Viagem,Imobiliaria,4,4,2,140,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1000000
2072,Apartamento,Boa Viagem,Imobiliaria,4,3,3,200,0,churrasqueira e salao de festas,1,0,0,0,0,1,0,0,0,0,1400000
2073,Apartamento,Casa Forte,Imobiliaria,4,4,3,205,0,copa,0,0,0,0,0,0,0,0,0,0,1200000
2074,Apartamento,Iputinga,Imobiliaria,3,1,1,90,25,esquina,0,0,0,0,0,0,0,0,0,0,220000
2075,Apartamento,Torreao,Imobiliaria,2,1,1,55,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,350000
2076,Apartamento,Espinheiro,Imobiliaria,3,1,1,132,0,playground e salao de festas,0,0,0,1,0,1,0,0,0,0,550000
2077,Apartamento,Ilha do Retiro,Imobiliaria,2,0,1,68,0,salao de festas,0,0,0,0,0,1,0,0,0,0,270000
2078,Apartamento,Boa Viagem,Pessoa Fisica,3,1,1,80,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,380000
2079,Apartamento,Boa Viagem,Imobiliaria,4,2,2,127,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1100000
2080,Apartamento,Boa Viagem,Imobiliaria,3,2,2,119,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,750000
2081,Casa,Areias,Imobiliaria,3,1,2,165,0,nenhum,0,0,0,0,0,0,0,0,0,0,450000
2082,Apartamento,Madalena,Imobiliaria,4,4,3,203,0,piscina,0,0,1,0,0,0,0,0,0,0,1350000
2083,Apartamento,Varzea,Imobiliaria,2,0,1,52,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,220000
2084,Apartamento,Casa Amarela,Imobiliaria,2,1,1,68,0,salao de festas,0,0,0,0,0,1,0,0,0,0,470000
2085,Apartamento,Boa Viagem,Imobiliaria,4,2,2,128,0,piscina e playground,0,0,1,1,0,0,0,0,0,0,1003680
2086,Apartamento,Boa Viagem,Imobiliaria,3,1,1,68,0,playground e quadra poliesportiva,0,0,0,1,1,0,0,0,0,0,460000
